date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.010313	-3.355550E-1	7.119678E-2	6.087172E-2
0.010375	-3.380654E-1	2.613401E-2	6.087172E-2
0.010438	-3.380654E-1	-1.892876E-2	6.087172E-2
0.010500	-3.405758E-1	-3.895665E-2	6.216564E-2
0.010563	-3.355550E-1	-6.649501E-2	6.216564E-2
0.010625	-3.380654E-1	-1.065508E-1	6.216564E-2
0.010688	-3.355550E-1	-1.591240E-1	6.216564E-2
0.010750	-3.255133E-1	-1.816554E-1	6.345955E-2
0.010813	-3.179820E-1	-2.016833E-1	6.281260E-2
0.010875	-3.054299E-1	-2.467461E-1	6.345955E-2
0.010938	-2.978986E-1	-2.993193E-1	6.345955E-2
0.011000	-2.853464E-1	-3.193472E-1	6.216564E-2
0.011063	-2.727943E-1	-3.368716E-1	6.281260E-2
0.011125	-2.527109E-1	-3.744239E-1	6.216564E-2
0.011188	-2.451796E-1	-4.169832E-1	6.216564E-2
0.011250	-2.250962E-1	-4.345076E-1	6.151868E-2
0.011313	-2.075233E-1	-4.545355E-1	6.087172E-2
0.011375	-1.924607E-1	-4.870809E-1	6.022476E-2
0.011438	-1.824190E-1	-5.346471E-1	6.151868E-2
0.011500	-1.598252E-1	-5.571785E-1	6.087172E-2
0.011563	-1.447626E-1	-5.747029E-1	6.281260E-2
0.011625	-1.246792E-1	-6.072482E-1	6.281260E-2
0.011688	-1.096167E-1	-6.523110E-1	6.216564E-2
0.011750	-9.204367E-2	-6.998773E-1	6.151868E-2
0.011813	-7.196027E-2	-7.399331E-1	6.216564E-2
0.011875	-5.438729E-2	-7.925063E-1	6.410651E-2
0.011938	-3.430388E-2	-9.001562E-1	6.345955E-2
0.012000	-1.668347E-3	-1.095428E+0	6.410651E-2
0.012063	1.841506E-2	-1.463441E+0	6.345955E-2
0.012125	3.849846E-2	-1.956628E+0	6.216564E-2
0.012188	5.858187E-2	-2.149396E+0	6.281260E-2
0.012250	8.117570E-2	-1.886530E+0	6.216564E-2
0.012313	1.012591E-1	-1.395847E+0	6.216564E-2
0.012375	1.138112E-1	-1.070393E+0	6.151868E-2
0.012438	1.288738E-1	-8.726179E-1	6.022476E-2
0.012500	1.414259E-1	-7.449400E-1	5.957781E-2
0.012563	1.615093E-1	-6.347866E-1	6.087172E-2
0.012625	1.765719E-1	-5.546750E-1	6.151868E-2
0.012688	1.841032E-1	-5.021018E-1	6.216564E-2
0.012750	1.966553E-1	-4.595425E-1	6.022476E-2
0.012813	2.041866E-1	-4.244937E-1	6.216564E-2
0.012875	2.142283E-1	-3.819344E-1	6.216564E-2
0.012938	2.318012E-1	-3.644100E-1	6.345955E-2
0.013000	2.368221E-1	-3.493891E-1	6.345955E-2
0.013063	2.569055E-1	-3.243542E-1	6.410651E-2
0.013125	2.719681E-1	-2.968158E-1	6.475347E-2
0.013188	2.820098E-1	-2.868019E-1	6.345955E-2
0.013250	2.895410E-1	-2.842984E-1	6.216564E-2
0.013313	2.945619E-1	-2.692775E-1	6.151868E-2
0.013375	3.096244E-1	-2.467461E-1	6.216564E-2
0.013438	3.196661E-1	-2.142008E-1	6.216564E-2
0.013500	3.271974E-1	-1.816554E-1	6.151868E-2
0.013563	3.322183E-1	-1.390961E-1	6.151868E-2
0.013625	3.347287E-1	-8.902640E-2	6.087172E-2
0.013688	3.347287E-1	-3.895665E-2	6.087172E-2
0.013750	3.372391E-1	-1.642527E-2	6.216564E-2
0.013813	3.372391E-1	1.612006E-2	6.216564E-2
0.013875	3.322183E-1	6.368632E-2	6.281260E-2
0.013938	3.246870E-1	9.873514E-2	6.281260E-2
0.014000	3.297078E-1	1.212665E-1	6.345955E-2
0.014063	3.171557E-1	1.463014E-1	6.410651E-2
0.014125	3.096244E-1	1.913642E-1	6.410651E-2
0.014188	3.121349E-1	2.289165E-1	6.475347E-2
0.014250	3.020932E-1	2.464409E-1	6.410651E-2
0.014313	2.895410E-1	2.764827E-1	6.216564E-2
0.014375	2.820098E-1	3.165385E-1	6.216564E-2
0.014438	2.744785E-1	3.540908E-1	6.216564E-2
0.014500	2.619263E-1	3.891396E-1	6.216564E-2
0.014563	2.468638E-1	4.066641E-1	6.087172E-2
0.014625	2.343117E-1	4.417129E-1	6.022476E-2
0.014688	2.092074E-1	4.867756E-1	6.151868E-2
0.014750	1.941449E-1	5.118105E-1	6.087172E-2
0.014813	1.740615E-1	7.421313E-1	6.216564E-2
0.014875	1.539780E-1	6.269709E-1	6.151868E-2
0.014938	1.364051E-1	6.169570E-1	6.281260E-2
0.015000	1.138112E-1	6.444953E-1	6.216564E-2
0.015063	8.870698E-2	6.670267E-1	6.281260E-2
0.015125	6.862357E-2	6.995721E-1	6.345955E-2
0.015188	5.105059E-2	7.596557E-1	6.410651E-2
0.015250	3.347761E-2	8.322569E-1	6.410651E-2
0.015313	1.088378E-2	9.424103E-1	6.410651E-2
0.015375	-1.171005E-2	1.205276E+0	6.216564E-2
0.015438	-3.179345E-2	1.728505E+0	6.281260E-2
0.015500	-4.434558E-2	2.184140E+0	6.216564E-2
0.015563	-6.442899E-2	2.139077E+0	6.216564E-2
0.015625	-8.200197E-2	1.668422E+0	6.087172E-2
0.015688	-1.020854E-1	1.245332E+0	6.087172E-2
0.015750	-1.246792E-1	9.899766E-1	6.151868E-2
0.015813	-1.397418E-1	8.172359E-1	6.087172E-2
0.015875	-1.598252E-1	6.945651E-1	6.022476E-2
0.015938	-1.723773E-1	6.194605E-1	6.151868E-2
0.016000	-1.849294E-1	5.543698E-1	6.281260E-2
0.016063	-2.100337E-1	4.942861E-1	6.216564E-2
0.016125	-2.200754E-1	4.342024E-1	6.216564E-2
0.016188	-2.351379E-1	4.116710E-1	6.345955E-2
0.016250	-2.451796E-1	3.866362E-1	6.475347E-2
0.016313	-2.552213E-1	3.515873E-1	6.345955E-2
0.016375	-2.652630E-1	3.165385E-1	6.410651E-2
0.016438	-2.727943E-1	3.040211E-1	6.281260E-2
0.016500	-2.828360E-1	2.965106E-1	6.345955E-2
0.016563	-2.853464E-1	2.764827E-1	6.216564E-2
0.016625	-2.953881E-1	2.489444E-1	6.216564E-2
0.016688	-3.054299E-1	2.289165E-1	6.216564E-2
0.016750	-3.129611E-1	2.113921E-1	6.151868E-2
0.016813	-3.154716E-1	1.713363E-1	6.087172E-2
0.016875	-3.305341E-1	1.112526E-1	6.087172E-2
0.016938	-3.355550E-1	8.621770E-2	6.087172E-2
0.017000	-3.380654E-1	5.367237E-2	6.216564E-2
0.017063	-3.405758E-1	1.862355E-2	6.216564E-2
0.017125	-3.481071E-1	-3.144619E-2	6.216564E-2
0.017188	-3.455967E-1	-6.649501E-2	6.281260E-2
0.017250	-3.380654E-1	-9.152988E-2	6.345955E-2
0.017313	-3.355550E-1	-1.290822E-1	6.345955E-2
0.017375	-3.280237E-1	-1.716415E-1	6.345955E-2
0.017438	-3.204924E-1	-2.091938E-1	6.345955E-2
0.017500	-3.104507E-1	-2.317252E-1	6.281260E-2
0.017563	-3.029194E-1	-2.592635E-1	6.216564E-2
0.017625	-2.928777E-1	-3.018228E-1	6.216564E-2
0.017688	-2.778152E-1	-3.418786E-1	6.216564E-2
0.017750	-2.627526E-1	-3.518925E-1	6.216564E-2
0.017813	-2.527109E-1	-3.794309E-1	6.087172E-2
0.017875	-2.401588E-1	-4.194867E-1	6.087172E-2
0.017938	-2.276067E-1	-4.570390E-1	6.022476E-2
0.018000	-2.100337E-1	-4.695564E-1	6.151868E-2
0.018063	-1.924607E-1	-4.920878E-1	6.216564E-2
0.018125	-1.748877E-1	-5.346471E-1	6.216564E-2
0.018188	-1.673564E-1	-5.721994E-1	6.216564E-2
0.018250	-1.447626E-1	-5.997378E-1	6.216564E-2
0.018313	-1.271896E-1	-6.197657E-1	6.410651E-2
0.018375	-1.045958E-1	-6.623250E-1	6.410651E-2
0.018438	-7.949154E-2	-7.148982E-1	6.410651E-2
0.018500	-5.940814E-2	-7.624644E-1	6.345955E-2
0.018563	-3.681431E-2	-8.225481E-1	6.281260E-2
0.018625	-1.422048E-2	-9.402120E-1	6.216564E-2
0.018688	8.373356E-3	-1.188057E+0	6.281260E-2
0.018750	3.347761E-2	-1.611147E+0	6.216564E-2
0.018813	5.607144E-2	-2.071788E+0	6.087172E-2
0.018875	7.364442E-2	-2.129368E+0	6.022476E-2
0.018938	8.619655E-2	-1.743831E+0	6.087172E-2
0.019000	1.012591E-1	-1.300714E+0	6.087172E-2
0.019063	1.213425E-1	-9.952887E-1	6.087172E-2
0.019125	1.389155E-1	-8.150377E-1	6.216564E-2
0.019188	1.514676E-1	-6.998773E-1	6.216564E-2
0.019250	1.615093E-1	-6.172622E-1	6.216564E-2
0.019313	1.765719E-1	-5.371506E-1	6.216564E-2
0.019375	1.891240E-1	-4.820739E-1	6.345955E-2
0.019438	1.991657E-1	-4.495285E-1	6.345955E-2
0.019500	2.192491E-1	-4.169832E-1	6.281260E-2
0.019563	2.318012E-1	-3.794309E-1	6.345955E-2
0.019625	2.443534E-1	-3.493891E-1	6.281260E-2
0.019688	2.543951E-1	-3.368716E-1	6.216564E-2
0.019750	2.694576E-1	-3.243542E-1	6.281260E-2
0.019813	2.794993E-1	-2.893054E-1	6.281260E-2
0.019875	2.870306E-1	-2.642705E-1	6.087172E-2
0.019938	2.995827E-1	-2.567600E-1	6.022476E-2
0.020000	3.020932E-1	-2.492496E-1	6.087172E-2
0.020063	3.096244E-1	-2.217112E-1	6.087172E-2
0.020125	3.196661E-1	-1.941729E-1	6.281260E-2
0.020188	3.246870E-1	-1.641310E-1	6.151868E-2
0.020250	3.271974E-1	-1.315857E-1	6.216564E-2
0.020313	3.297078E-1	-8.401942E-2	6.216564E-2
0.020375	3.322183E-1	-3.394968E-2	6.216564E-2
0.020438	3.322183E-1	-3.907835E-3	6.345955E-2
0.020500	3.297078E-1	1.862355E-2	6.410651E-2
0.020563	3.372391E-1	5.867934E-2	6.345955E-2
0.020625	3.347287E-1	9.873514E-2	6.410651E-2
0.020688	3.297078E-1	1.312805E-1	6.216564E-2
0.020750	3.196661E-1	1.513084E-1	6.281260E-2
0.020813	3.196661E-1	1.863572E-1	6.216564E-2
0.020875	3.146453E-1	2.414339E-1	6.281260E-2
